,gid,aid,move,fen,annotation
0,0,0,d4,b'rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3',White open d4 on my opinion he is a positional player. which in contrast with me I'm attacking player usually I'm playing e4.
1,0,1,Nf6,b'rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -',I usually refute d4 by Nf6 this is my psywar against white he doesn't know what is my idea on my opening because I can transpose this to any openings unlike d5.
2,0,2,c4,b'rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq c3',white continue pushing his pawn to c4. 
3,0,3,g6,b'rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -',Here is my idea like my idol Fischer likes the Kings Indian Defense But I only bluff white since I decide to play my opening repertoire the Gruenfeld defense.
4,0,4,g3,b'rnbqk2r/ppppppbp/5np1/8/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq -',g3 added the pressure on d5 by fianchetto of his king bishop. which is a natural move
5,0,5,O-O,b'rnbq1rk1/ppppppbp/5np1/8/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQ -',usually all of my games I prefer early castling.
6,0,6,d5,b'rnbq1rk1/ppp1ppbp/5np1/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R w KQ d6',Here is the Gruenfeld defense. I provoking white to capture my pawn in which he did.
7,0,7,c6,b'rnbq1rk1/pp2ppbp/2p3p1/3n4/3P4/5NP1/PP2PPBP/RNBQ1RK1 w - -',I played c6 here to support my knight in d5 and as well to prevent any possible attack by bishop on my rook
8,0,8,Nc3,b'rnbq1rk1/pp2ppbp/2p3p1/3n4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -',Here white played Nc3 to challenge my knight in d5with the idea of e4 
9,0,9,Bg4,b'rn1q1rk1/pp2ppbp/2p3p1/3n4/3P2b1/2N2NP1/PP2PPBP/R1BQ1RK1 w - -',I played Bg4 here to restrict the space dominated by white pieces in center
10,0,10,h3,b'rn1q1rk1/pp2ppbp/2p3p1/3n4/3P2b1/2N2NPP/PP2PPB1/R1BQ1RK1 b - -',very obvious move
11,0,11,Bd7,b'rn1q1rk1/pp1bppbp/2p3p1/3n4/3P4/2N2NPP/PP2PPB1/R1BQ1RK1 w - -',usually i'm not exchanging my bishop against knight unless it was necessary. Bg4 only is a psychological move I'm provoking white to push his h3 to add weakness on his kingside.
12,0,12,1Qd3,b'rn1q1rk1/pp1bppbp/2p3p1/3n4/3P4/2NQ1NPP/PP2PPB1/R1B2RK1 b - -',white queen maintaining his idea to dominate the center.
13,0,13,1Na6,b'r2q1rk1/pp1bppbp/n1p3p1/3n4/3P4/2NQ1NPP/PP2PPB1/R1B2RK1 w - -',I played 10. Na6 followed by 11. Nc7 to prepare for white e4
