,gid,aid,move,fen,annotation
0,0,0,e4,b'rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3',A fairly short game that quickly became a violent series of sacs.
1,0,1,f4,b'r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq f3',Sicilian Grandprix.  
2,0,2,Bb5,b'r1bqk1nr/pp1pppbp/2n3p1/1Bp5/4PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -',I prefer this to 5.Bc4 because ...e6 severely limits my bishop's effectiveness.  Trading the bishop for his knight is usually not detrimental to white's position.
3,0,3,Nd4,b'r1bqk1nr/pp1pppbp/6p1/1Bp5/3nPP2/2N2N2/PPPP2PP/R1BQK2R w KQkq -',Black's main try.
4,0,4,Nxb5,b'r1bqk1nr/pp1pppbp/6p1/1np5/4PP2/2N2N2/PPPP2PP/R1BQ1RK1 w kq -',Simplifying the position.  In most opening positions I prefer my bishops to my knights and so try to avoid exchanging them but in this particular opening it's not only acceptable it's preferable to exchange it.  
5,0,5,Qe1,b'r1bqk2r/pp2ppbp/3p1np1/1Np5/4PP2/3P1N2/PPP3PP/R1B1QRK1 b kq -',Preparing to aggressively attack the kingside.  White's potential whether his kingside attack succeeds or not is more than enough to make up for the exchanged bishop.
6,0,6,b5,b'r2q1rk1/p2bppbp/3p1np1/1pp5/4PP1Q/2NP1N2/PPP3PP/R1B2RK1 w - b6',His counterattack looks dangerous and will come faster than mine but while his will net a long term advantage he needs to survive to use it!
7,0,7,1f5,b'r2q1rk1/p2bppbp/3p1np1/1pp2P2/4P2Q/2NP1N2/PPP3PP/R1B2RK1 b - -',The beginning of a series of sacs (mostly little pawn ones).  It also opens the bishop's c1-h6 diagonal which is essential to the attack.
8,0,8,gxf5,b'r2q1rk1/p2bppbp/3p1n2/2p2p2/1p2P2Q/3P1N2/PPP1N1PP/R1B2RK1 w - -',Perhaps not best.  His position is tenuous and how much can he gain from this?  A few pawns?
9,0,9,1Ng5,b'r2q1rk1/p2bppbp/3p1n1B/2p3N1/1p2p2Q/3P4/PPP1N1PP/R4RK1 b - -',Intensifying the pressure.
10,0,10,1exd3,b'r2q1rk1/p2bppbp/3p1n1B/2p3N1/1p5Q/3p4/PPP1N1PP/R4RK1 w - -',A mistake perhaps even a blunder!  Here I should ignore the threat to knight and simply play Bxg7 and continue my planned attack.  I was feeling a bit more cautious though so...
11,0,11,dxc2,b'r2q1rk1/p2bppbp/3p1n1B/2p3N1/1p5Q/6N1/PPp3PP/R4RK1 w - -',A truly fatal blunder.  His best chance is to play Bh8 when I still come out with a limited advantage.  Here though when allowed to exchange the bishops my attack becomes lethal.
12,0,12,1Rxf6,b'r2q1r2/p2bppkp/3p1R2/2p3N1/1p5Q/6N1/PPp3PP/R5K1 b - -',The point of the entire combination.  My opponent resigned here in light of his three  options: A) 18...exf6 19.Qxh7#  B) 18...Kxf6 19.Rf1+ Ke5 20.Qe4# and C) 18...Kxf6 19.Rf1+ Kg6 20.Qxh7+ Kxg5 21.Qh5#.
13,1,0,a6,b'rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -',The Najdorf. Probably the most common opening you'll run into playing as white with 1. e4. 
14,1,1,e6,b'rnbqkb1r/1p3ppp/p2ppn2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq -',Klaus: We choose this Opening because it is a modern Variation with good Chances of both Sides ! 
15,1,2,Qf3,b'rnbqk2r/1p2bppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/R3KB1R b KQkq -',"Myevilluck: I play Qf3 because it goes with the overall theme of white to attack the kingside. Supporting a f-pawn push eventually and allowing me to castle long. Other moves don't accomplish this accurately. I could technically probably move 8. Be2 and castle kingside but it isn't in the spirit and I don't like creating new plans. Moving the LSB anywhere else would be an inaccuracy because of him having moves like 8. ... Qc7 or Qb6.                                                                                                                                                                                                                                          Klaus:If White did not play Qf3 in the 8th Move for example he play 8.Qd2 black could play immediately b5 ! This opens black some good Counter Chances in the early stadium of the game.
"
16,1,3,Nbd7,b'r1bqk2r/1p1nbppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/R3KB1R w KQkq -',Klaus: Nbd7 to have a look at the square e5. 
17,1,4,O-O-O,b'r1bqk2r/1p1nbppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/2KR1B1R b kq -',Sicilian Defense: Najdorf Variation Main Line (B99)
18,1,5,h6,b'r1bqk2r/1p1nbpp1/p2ppn1p/6B1/3NPP2/2N2Q2/PPP3PP/2KR1B1R w kq -',Klaus:  h6 is a move over that grandmasters discuss in different ways. Every pawn move of the kingsside (the side where you castled) is weakening but i prefer this move because White will play g5 later and i will exchange the pawns to get a more active defense over the line 6 and 7. Coincidentally the pieces of these lines should attack the opponents king side. 
