,gid,aid,move,fen,annotation
0,0,0,e4,b'rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3',King pawn opening; White seizes control over the center with this strong move
1,0,1,e5,b'rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6',Black does the same
2,0,2,Nf3,b'rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -',White develops his knight while attacking my pawn.
3,0,3,Nc6,b'r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -',I activate mine and I protect my e pawn
4,0,4,Bc4,b'r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq -',Italian opening; white attacks my weak f7 pawn
5,0,5,Nf6,b'r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -',I opt for the two knight defense. Pretty much normal so far
6,0,6,Ng5,b'r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq -',White attacks my weak f7 pawn again and I can't protect it properly
7,0,7,Bc5,b'r1bqk2r/pppp1ppp/2n2n2/2b1p1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq -',Since I got bad results playing d4 here I decided to play the agressive traxler variation.
8,0,8,Nxf7,b'r1bqk2r/pppp1Npp/2n2n2/2b1p3/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq -',? Bxf7 is better here
9,0,9,Bxf2+,b'r1bqk2r/pppp1Npp/2n2n2/4p3/2B1P3/8/PPPP1bPP/RNBQK2R w KQkq -',I sac my bishop to bring the white king out in the open.
10,0,10,Kxf2,b'r1bqk2r/pppp1Npp/2n2n2/4p3/2B1P3/8/PPPP1KPP/RNBQ3R b kq -',White accepts
11,0,11,Nxe4+,b'r1bqk2r/pppp1Npp/2n5/4p3/2B1n3/8/PPPP1KPP/RNBQ3R w kq -',Checking the king while taking a pawn
12,0,12,Ke3,b'r1bqk2r/pppp1Npp/2n5/4p3/2B1n3/4K3/PPPP2PP/RNBQ3R b kq -',?! Now both my queen and knight are attacked so...
13,0,13,Qh4,b'r1b1k2r/pppp1Npp/2n5/4p3/2B1n2q/4K3/PPPP2PP/RNBQ3R w kq -',This move gets my queen out of the knight's attack and protects mine
14,0,14,g3,b'r1b1k2r/pppp1Npp/2n5/4p3/2B1n2q/4K1P1/PPPP3P/RNBQ3R b kq -',! Now I must lose a piece as I can't protect my knight anymore
15,0,15,Nxg3,b'r1b1k2r/pppp1Npp/2n5/4p3/2B4q/4K1n1/PPPP3P/RNBQ3R w kq -',So I just sacced it to rip open white king's position
16,0,16,hxg3,b'r1b1k2r/pppp1Npp/2n5/4p3/2B4q/4K1P1/PPPP4/RNBQ3R b kq -',white accepts
17,0,17,Qd4+,b'r1b1k2r/pppp1Npp/2n5/4p3/2Bq4/4K1P1/PPPP4/RNBQ3R w kq -',The best move here as I keep the initiative
18,0,18,1Kf3,b'r1b1k2r/pppp1Npp/2n5/4p3/2Bq4/5KP1/PPPP4/RNBQ3R b kq -',Ke2 fails to Qxc4+ followed by Qxf7
19,0,19,1d5,b'r1b1k2r/ppp2Npp/2n5/3pp3/2Bq4/5KP1/PPPP4/RNBQ3R w kq d6',! Attacks the white bishop while treatening Bg4+ winning the queen
20,0,20,1Nxe5,b'r1b1k2r/ppp3pp/2n5/3pN3/2Bq4/5KP1/PPPP4/RNBQ3R b kq -',?? Although I didn't see it when I played this game this move is met by Rf8+ (or 0-0+) which  is mate in 2 after 12. Nf7 Rxf7+ 13. Kg2 Qf2# or 13. Ke2 Qe4#
21,0,21,1Nxe5+,b'r1b1k2r/ppp3pp/8/3pn3/2Bq4/5KP1/PPPP4/RNBQ3R w kq -',? I give this move a question mark because I missed the mate but it would have been less interesting.
22,0,22,1Kg2,b'r1b1k2r/ppp3pp/8/3pn3/2Bq4/6P1/PPPP2K1/RNBQ3R b kq -',Ke2 is still met by Bg4+ winning the queen.
23,0,23,1Bg4,b'r3k2r/ppp3pp/8/3pn3/2Bq2b1/6P1/PPPP2K1/RNBQ3R w kq -',I wonder if this was the best move. Any suggestions readers? In any case I develop my bishop and attack the white queen
24,0,24,1Qe1,b'r3k2r/ppp3pp/8/3pn3/2Bq2b1/6P1/PPPP2K1/RNB1Q2R b kq -',white gets his queen out of the way while pinning my knight. good move
25,0,25,1dxc4,b'r3k2r/ppp3pp/8/4n3/2pq2b1/6P1/PPPP2K1/RNB1Q2R w kq -',Why not? White has no Immediate threats I restore material equality and I have a crushing positionnal advantage. Just look at white undevelopped queenside!
26,0,26,1Rh4,b'r3k2r/ppp3pp/8/4n3/2pq2bR/6P1/PPPP2K1/RNB1Q3 b kq -',? Pins the bishop to my queen but nothing much else
27,0,27,1O-O,b'r4rk1/ppp3pp/8/4n3/2pq2bR/6P1/PPPP2K1/RNB1Q3 w - -',!! I activate my rook into the deadly fully open f file AND I unpin my knight
28,0,28,1c3,b'r4rk1/ppp3pp/8/4n3/2pq2bR/2P3P1/PP1P2K1/RNB1Q3 b - -',?? Loses the game in a pretty way. Nc3 is better here
29,0,29,1Qd5+,b'r4rk1/ppp3pp/8/3qn3/2p3bR/2P3P1/PP1P2K1/RNB1Q3 w - -',!! Did you noticed that the white king is trapped in a 2x2 square box? Forced mate in 3 
30,0,30,1Kh2,b'r4rk1/ppp3pp/8/3qn3/2p3bR/2P3P1/PP1P3K/RNB1Q3 b - -',?? Although every moves here loses white has chosen the most painful way to lose
31,0,31,1Nf3+,b'r4rk1/ppp3pp/8/3q4/2p3bR/2P2nP1/PP1P3K/RNB1Q3 w - -',! My opponent actually resigned here at this nice royal fork but the next moves shows how I would have finished the game
32,0,32,1Kg2,b'r4rk1/ppp3pp/8/3q4/2p3bR/2P2nP1/PP1P2K1/RNB1Q3 b - -',The king is forced to go in the h1-a8 diagonal...
33,0,33,1Nxe1+,b'r4rk1/ppp3pp/8/3q4/2p3bR/2P3P1/PP1P2K1/RNB1n3 w - -',I take his queen with a double check
34,0,34,Nf3+,b'r4rk1/ppp3pp/8/3q4/2p3bR/2P2nP1/PP1P3K/RNB5 w - -',The white king must go into the h1-a8 diagonal AGAIN!
35,0,35,Nxh4+,b'r4rk1/ppp3pp/8/3q4/2p3bn/2P3P1/PP1P4/RNB4K w - -',I take his rook with a discovered check
36,0,36,Qg2#,b'r4rk1/ppp3pp/8/8/2p3bn/2P3P1/PP1P2q1/RNB3K1 w - -',"0-1  For those who wondered if the king tries to escape through the f file he would have been mated quick enough by Nxh4+ Ke1 Rae8# activating my other rook as well.
Please feel free to comment and rate"
37,1,0,d4,b'rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3',In our openings we need to consult the databases and opening books and there are reasons why departures from established theory are bad -- they are dross in the crucible of experience.  In this game black's first error comes on the fourth move and a crucial blunder at move seven makes white's win inevitable.  Yet white confident in the outcome makes a lazy decision at move 14 prolonging the game unnecessarily.
38,1,1,f6,b'rnbqkbnr/ppp3pp/4pp2/6B1/2pP4/5N2/PP2PPPP/RN1QKB1R w KQkq -',?  This is a departure from established play (4. ... Be7) and it doesn't turn out well.  Unless black can now mobilize the queenside and castle over there he is doomed.
39,1,2,cxd6,b'rnbqk1nr/pp4pp/3ppp2/8/2pP4/5N2/PP2PPPP/RN1QKB1R w KQkq -',"The idea seems to have been ""hold the center"" but Qxd5 would have been better."
40,1,3,e4,b'rnbqk1nr/pp4pp/3ppp2/8/2pPP3/5N2/PP3PPP/RN1QKB1R b KQkq e3',White could have regained the gambit pawn with Qa4+ but to no strategic advantage.  I'm playing to expose black's king. 
41,1,4,Bxc4,b'r1b1k1nr/pp4pp/2nppp2/q7/2BPP3/2N2N2/PP3PPP/R2QK2R b KQkq -',Regaining the gambit pawn.
42,1,5,e5,b'r1b1k1nr/pp4pp/2np1p2/q3p3/2BPP3/2N2N2/PP3PPP/R2QK2R w KQkq -',??  Bad move.  Black is behind in development and hasn't castled yet; putting the center in flux leads to his downfall.
43,1,6,1dxe5,b'r1b1k1nr/pp4pp/2np1p2/q3P3/2B1P3/2N2N2/PP3PPP/R2QK2R b KQkq -',Exposing black's vulnerable d-pawn . . .
44,1,7,1fxe5,b'r1b1k1nr/pp4pp/2np4/q3p3/2B1P3/2N2N2/PP3PPP/R2QK2R w KQkq -',When he promptly makes exactly the wrong move losing immediately.  But 10. ... dxe5 doesn't look promising either. 
45,1,8,Nf6,b'r1b1k2r/pp4pp/2nQ1n2/q3p3/2B1P3/2N2N2/PP3PPP/R3K2R w KQkq -',11. ... Ne7 would have at least covered the king a bit but 11. ... Qd8 was his best hope.
46,1,9,Bxe6,b'r3k2r/pp4pp/2nQbn2/q3p3/4P3/2N2N2/PP3PPP/R3K2R w KQkq -',??  Still 12. ... Qd8 was black's only chance.
