,gid,aid,move,fen,annotation
0,0,0,exf4,b'rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w KQkq -',As I think the King's Gambit was a popular opening during the 19th century.
1,0,1,Bc4,b'rnbqkbnr/pppp1ppp/8/8/2B1Pp2/8/PPPP2PP/RNBQK1NR b KQkq -',If I played I prefer 3.Nf3 instead of 3.Bc4 because it avoids the annoying 3...Qh4+.
2,0,2,b5,b'rnb1kbnr/p1pp1ppp/8/1p6/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w kq b6',What was that? I think that Kieseritsky tried to activate the light squared bishop on a6-f1 diagonal by some moves later where the white King was.
3,0,3,Bxb5,b'rnb1kbnr/p1pp1ppp/8/1B6/4Pp1q/8/PPPP2PP/RNBQ1KNR b kq -',As I think 5.Nf3 followed by 6.Bb3 and 7.d3 (or d4 if possible) will give white a better control over the center. On the other hand it was recapturing the pawn he offered in the second move.
4,0,4,Nf6,b'rnb1kb1r/p1pp1ppp/5n2/1B6/4Pp1q/8/PPPP2PP/RNBQ1KNR w kq -',Getting the control over the center is very important while it was attacking the pawn on e4.
5,0,5,Nf3,b'rnb1kb1r/p1pp1ppp/5n2/1B6/4Pp1q/5N2/PPPP2PP/RNBQ1K1R b kq -',Developing a horse while attacking to the Queen but 3.Nf3 is better according to me.
6,0,6,Nh5,b'rnb1kb1r/p1pp1ppp/7q/1B5n/4Pp2/3P1N2/PPP3PP/RNBQ1K1R w kq -',Black was trying to a breakthrough with 8...Ng3+. According to my opinion it is better not to move the same piece in the opening moves I like 7...c6 here.
7,0,7,Qg5,b'rnb1kb1r/p1pp1ppp/8/1B4qn/4Pp1N/3P4/PPP3PP/RNBQ1K1R w kq -',The queen was threatening to both the bishop and the horse. 9.Nf5 would stop that for a while.
8,0,8,Nf5,b'rnb1kb1r/p1pp1ppp/8/1B3Nqn/4Pp2/3P4/PPP3PP/RNBQ1K1R b kq -',It was the only way to protect both pieces.
9,0,9,c6,b'rnb1kb1r/p2p1ppp/2p5/1B3Nqn/4Pp2/3P4/PPP3PP/RNBQ1K1R w kq -',Trying to create some space for the light squared bishop as well as a pawn moves towards the center.
10,0,10,1g4,b'rnb1kb1r/p2p1ppp/2p5/1B3Nqn/4PpP1/3P4/PPP4P/RNBQ1K1R b kq g3',An aggressive counterattack! Black could easily cut the bishop and there will be a huge blank squares around the white king. Because the king has been moved it would be not difficult to launch an attack from the kingside.
