,gid,aid,move,fen,annotation
0,0,0,Qd2,b'r2q1rk1/ppp1ppbp/2np1np1/8/3PP1b1/2N1BN2/PPPQBPPP/R4RK1 b - -',Not a normal opening for me but fairly standard looking development.
1,0,1,Ne7,b'r2q1rk1/ppp1npbp/3p1np1/3Pp3/4P1b1/2N1BN2/PPPQBPPP/R4RK1 w - -',This seems a bad exchange for black as the g7 bishop seems to have no control any more.
2,0,2,1Nh2,b'r2q1rk1/pppbnpbp/3p1np1/3Pp3/4P3/2N1B2P/PPPQBPPN/R4RK1 b - -',Now trying to build up a kingside attack whilst my pieces seem to have good positioning.
3,0,3,1a4,b'r2q1rk1/pp1bnpbp/2pp1np1/3Pp3/P3P3/2N1B2P/1PPQBPPN/R4RK1 b - a3',"Erm yes like I said my kingside attack ... :S

Not quite sure why the change of plan here -- I think I was blocking bishop advances to b5 whilst hoping to play Ra3 to get the Rook into kingside play."
4,0,4,Nf5,b'r2q1rk1/pp1b1pbp/3p1np1/3Ppn2/P7/2N1B2P/1PPQBPPN/R4RK1 w - -',Hmmm not so good. now e4 can release the black bishop and I'm under attack myself. I'd love to know what I should have done differently? The only thing I can think of is playing dxc6 myself and then following with f3 but it seems to restrict the kingside I was trying to activate.
5,0,5,1Ne4,b'r2q1rk1/pp1b1p2/3p1bpp/3Ppn2/P3N3/7P/1PPQBPPN/R4RK1 b - -',Trying to maintain the initiative and swap a bishop back as I get uncomfortable with my opponent having both bishops.
6,0,6,1Kh7,b'r2q1r2/pp1b1p1k/3p1bpp/3Ppn2/P3N3/7P/1PPQBPPN/R4RK1 w - -',Strange move to me? I'd love to know the thoughts behind this one.
7,0,7,1Nxf6+,b'r2q1r2/pp1b1p1k/3p1Npp/3Ppn2/P7/7P/1PPQBPPN/R4RK1 b - -',Tempted with g4 and Nxd6 but my desire to remove a bishop was greater.
8,0,8,2Ne3,b'r4r2/pp1b1pqk/3p2pp/3Ppn2/P7/4N2P/1PPQBPP1/R4RK1 b - -',Kingside pressure is far bigger for black now so I play for repetition.
9,0,9,f4,b'r4r2/pp1b2qk/3p2pp/3Pp3/P1P2p2/4Q2P/1P2BPP1/R4RK1 w - -',Here comes the pawn rush.
10,0,10,2Qb3,b'r4r2/pp4qk/3p2pp/3Ppb2/P1P2p2/1Q5P/1P2BPP1/R4RK1 b - -',Forced but happy with this I had hoped black would play this so I could play Bd3 and swap off more pieces. I've already lost the belief in the win here which cannot be a good sign.
11,0,11,2Qb4,b'r4r2/p5qk/1p1p2pp/3Ppb2/PQP2p2/7P/1P2BPP1/R4RK1 b - -',Single piece threat to the pawn getting desperate.
