,gid,aid,move,fen,annotation
0,0,0,f6,b'rnbqkbnr/pppp2pp/5p2/4p3/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq -',I wasn't sure what I was thinking at this point. I usually consult opening databases to reason about each move before I made the decision. I guess I just wasn't keen on 3. dxe5 dxe5 4. Qxd8  Kxd8. I'll have to come back to this game again after checking out this opening.
1,0,1,Be6,b'rn1qkb1r/ppp3pp/3pbn2/3Np1B1/4P3/8/PPP2PPP/R2QKBNR w KQkq -',I felt my king side pawn structure was busted ... trying for O-O-O instead.
2,0,2,Bf7,b'rn1qkb1r/ppp2b1p/3p1p2/3Np3/2B1P3/8/PPP2PPP/R2QK1NR w KQkq -',Not quite sure why I did this. Perhaps I was uncomfortable with the bishop dangling defenselessly at e6 while his knight was in a fairly offensive position?
3,0,3,1Nd5,b'2kr3r/pppq1bbp/2np1p2/3Np3/2B1P3/5Q2/PPP1NPPP/R4RK1 b - -',doubling his attack on my weak f pawn.
4,0,4,1Bxd5,b'2kr3r/pppq2bp/2np1p2/3bp3/2B1P3/5Q2/PPP1NPPP/R4RK1 w - -',So I felt the need for the trade.
5,0,5,1Bxd5,b'2kr3r/pppq2bp/2np1p2/3Bp3/4P3/5Q2/PPP1NPPP/R4RK1 b - -',Not quite sure if 14 exd5 would have been better for him. My knight would have to go away and his pawn would still remain very defensible while being stuck literally right down my throat.
6,0,6,Kb8,b'1k3r1r/pppqn1bp/3p1p2/4p2B/4P3/5Q2/PPP1NPPP/R4RK1 w - -',Had to take the time to keep my king safe.
7,0,7,1a4,b'1k3r1r/pp1qn1bp/2pp4/4pp1B/PPP1P3/5Q2/4NPPP/R4RK1 b - a3',That was a little alarming. Especially if he manages to put some pieces behind that pawn structure for the final push towards my king after the pawns poke holes into his defenses.
8,0,8,d5,b'1k3r1r/pp1qn1bp/2p5/3pp2B/PPP1Q3/8/4NPPP/R4RK1 w - -',Gonna use my numerical advantage to reduce the queen side threat while driving his queen away.
9,0,9,e4,b'1k5r/pp2n1bp/2p5/3p2r1/PPP1p1B1/5P2/4N1PP/R4RK1 w - -',My turn to poke a little hole in his defenses.
10,0,10,3Bg4,b'7r/p1k1n1bp/2p5/1p2r3/PPpN2BP/8/6P1/2R2RK1 b - -',Freeing his f rook and trying for a e6 fork on my bishop I believe.
11,0,11,a6,b'7r/2k1n2p/p1p4b/1p2r3/PPpN2BP/8/6P1/R4RK1 w - -',Giving him dominion over the a file but I preserve the pawn structure.
12,0,12,3Kh1,b'7r/4n2p/p1pkN2b/1p2r3/PPp3BP/8/6P1/R4R1K b - -',Not quite sure why he thought Be3  was so deadly that he decided to give me some tempo.
13,0,13,3Nd5,b'7r/7p/p1pkN2b/1p1nr3/PPp3BP/8/6P1/R4R1K w - -',"Decided that the b4 pawn was ""it""."
14,0,14,Rxe6,b'7r/7p/p1pkr2b/1p1n4/PPp3BP/8/6P1/3R1R1K w - -',Learned this trick from an earlier game. I needed numerical superiority more than raw power at this point. Decided to throw a rook in exchange for fewer pieces on his side getting in my way.
15,0,15,3a5,b'7r/7p/p1p1k2b/Pp1n4/1Pp4P/8/6P1/3R1R1K b - -',Not sure why he did this. Was he afraid of bxa4? In the face of 2 rooks I'd rather keep that pawn structure intact. Anyway that bought me another tempo to bring my rook (finally) into action.
16,0,16,3Rfe1+,b'5r2/7p/p1p1k2b/Pp1n4/1Pp4P/8/6P1/3RR2K b - -',He wisely declined the poisoned exchange hehe.
17,0,17,Bf4,b'5r2/3k3p/p1p5/Pp1n4/1Pp2bPP/8/8/3RR2K w - -',I had to get my bishop out before I am forced to lose time doing the same thing later when his pawns are dangerously closer.
18,0,18,3Rd4,b'5r2/3k3p/p1p5/Pp1n4/1PpR1bPP/8/8/4R2K b - -',Not sure what he wanted to achieve with that since my bishop was very well guarded.
19,0,19,3c3,b'5r2/3k3p/p1p5/Pp1n4/1P1R1bPP/2p5/8/4R2K w - -',So I took the extra time to push the pawn and threaten to promote it on a square I control at c1. If he failed to do anything about it he would have to lose a rook to prevent the promotion.
20,0,20,Bd2,b'5r2/3k3p/p1p5/Pp1n4/1P1R2PP/2p5/3bR3/7K w - -',Rook for a Bishop pawn looked like a good exchange at this point. I cannot remember if I was trying to prevent Rc2 (which does not seem so bad to me now) or whether I was vacating f4 so my rook could go there for a devastating attack on his pawns effectively forcing him to trade rooks.
21,0,21,Nxf4,b'8/3k3p/p1p5/Pp4P1/1P3n1P/2p5/3bR3/7K w - -',I think I preferred Nxf4 to Bxf4 because it deters h5 and g6 while also forcing his rook to go away.
22,0,22,4Rf2,b'8/3k3p/p1p5/Pp4P1/1P3n1P/2p5/3b1R2/7K b - -',"He really should not have done that there was no threat on the knight so it simply gives me another tempo to get my king away from the d file. The reason will be clear in the later moves.

"
23,0,23,c2,b'8/4k2p/p1p5/Pp4P1/1P3n1P/8/2pb1R1K/8 w - -',If my king was still in d7 this would not have been possible. Promotion was inevitable now.
24,0,24,Kf7,b'8/5k1p/p1p5/Pp4P1/1P3n1P/6K1/8/2b5 w - -',The rationale for this was to prevent his king from doing anything useful king side. His pawns are already stuck queen side.
25,0,25,5Kg3,b'8/7p/p1p5/Pp4Pk/1P3n1P/6K1/8/2b5 b - -',Not good for him ... if he wanted a shot at a draw he should have started going queen side.
26,0,26,Bxb4+,b'8/7p/p1pK4/Pp4k1/1b5n/8/8/8 w - -',Figured I can afford to trade pawns since I can pretty much guarantee the h pawn promotion.
27,0,27,Bd8,b'3b4/7p/K7/6k1/1p5n/8/8/8 w - -',was tempted to give the bishop away but it was not necessary.
28,0,28,h5,b'3b4/8/8/2K3kp/7n/8/8/3q4 w - h6',this is just silliness on my part couldn't quite figure out a quick way of mating so I kinda decided on the 2nd queen.
29,0,29,Nf3,b'3b4/8/8/6kp/2K5/5n2/8/3q4 w - -',It was only at this point (when I was forced to move the knight away to pursue my original plan) did I realize the knight allowed the queen much better opportunities to corner the king.
30,0,30,6Kb5,b'3b4/8/8/1K2n1kp/3q4/8/8/8 b - -',He had a better position to head toward but it's just as well. gg
