,gid,aid,move,fen,annotation
0,0,0,e6,b'r2qkbnr/pp1b1p1p/2npp1p1/1Bp5/4PP2/2N2N2/PPPP2PP/R1BQ1RK1 w kq -',My opponent has taken the game out of the book lines with this abnormal setup. Both white and black will now achieve the 3 opening goals. The position is not extremely open or too likely to open. This generally weakens the need to perform the 3 opening tasks very quickly so exceptions happen often.
1,0,1,d3,b'r2qkbnr/pp1b1p1p/2npp1p1/1Bp5/4PP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -',Not a bad move for me but a pyschological mistake. I continue to play my intended setup against black's best book moves against another setup. It is certainly a reasonable choice but 7.d4! takes advantage of the only imbalance in the position: White is better developed. The center will open quickly to white's advantage. 
2,0,2,Qe1,b'r2qkb1r/pp1bnp1p/2npp1p1/1Bp5/4PP2/2NP1N2/PPP3PP/R1B1QRK1 b kq -',Here 8.d4 is the best move. It would look very foolish to play it after 7.d3 and would clearly show that I knew my original plan was not best. Generally when one player goes with a setup or plan that is second best he will go on with it even if another plan is better. It is psychologically hard for many players to avoid this even though it would be better for their game.
3,0,3,1Kh1,b'r2qk2r/pp1bnpbp/2n1p1p1/1BppP3/5P2/2NP1N2/PPP3PP/R1B1QR1K b kq -',The waiting move is preparing for the king safety on the diagonal but 10.Qf2 going along with the plan was the best move. 
4,0,4,b5,b'r2qk2r/4npbp/p1b1p1p1/1pppP3/5P2/2NP1N2/PPPB2PP/R3QR1K w kq b6',The plans for both sides are clearer. White will attempt to close the position maximally and to provide support for the knights over the bishops. Black should open up the position for the bishops but only after he has caught up in the development and safety of the king. You can tell the correct plan in an instant by looking at the position and looking at the motifs and ideas for both sides.
5,0,5,h5,b'r2qk2r/4npb1/p1b1p1p1/1pppP2p/5P2/P1NP1N2/1PPB2PP/R3QR1K w kq h6',(?)Quite a big mistake and this weak move shows that black does not understand the correct plans for both sides. The move looks like an attempt to attack against my king or place the bishop on h6. Neither of them go with the correct and are clearly not exceptions. Furthermore it allows white to have a clear move to finish the first step of the plan: Create outposts and good points for the knights.
6,0,6,1b4,b'r2qk2r/4npb1/p1b1p1p1/1pppP2p/1P3P2/P1NP1N2/2PB2PP/R3QR1K b kq b3',The strong move that takes control over d4 allowing the knights to favor the bishops.
7,0,7,1Ne2,b'r2qkb1r/5p2/p1b1p1p1/1p1pPn1p/1P3P2/3P1N2/2PBNQPP/R4R1K b kq -',Now the bishops are clearly inferior to the knights which means that my first step is over with. My next plan is to use my superior pieces to penetrate the position and attack in the middlegame. 
8,0,8,1Nxd4,b'r2qk2r/4bp2/p1b1p1p1/1p1pP2p/1P1N1P2/3P4/2PB1QPP/R4R1K b kq -',In the middlegame one needs to come up with an attack on weaknesses. If there are none one must improve their pieces to take advantage of possible weaknesses to be created. There is a weak a6 pawn and a good c5 square for a piece.
9,0,9,2Ra3,b'r2bk2r/1b1q1p2/p3p1p1/1p1pP2p/1P1N1P2/R2P4/2PB1QPP/1R5K b kq -',It is clear that black has nothing to do since his position is clearly worse. 
10,0,10,2Nb3,b'2rb1rk1/1b1q1p2/p3p1p1/1p1pP2p/1P3P2/RN1PB3/2P2QPP/1R5K b - -',So while black is shuffling his pieces around white is taking aim at the c5 and a6 squares. The plan is to further penetrate into the position.
11,0,11,a5,b'2r2rk1/1bq1bp2/4p1p1/ppNpP2p/1P1B1P2/R2P4/2P2QPP/1R5K w - -',Instead of going passively and waiting for me to complete my plan black sacrifices a pawn. Now white will have a concrete permanent advantage to convert. Thus he has in a way completed his plan.
12,0,12,3Qg1,b'b5k1/2q1bp2/4p1p1/1pNpP2p/1P1B1P2/3P4/2P3PP/6QK b - -',At first I clearly believed this endgame to be winning for white due to the easy way for white to protect all the points in his territory and the weak black king with opposite colored bishops. Now it is not so clear. The readers can say what they think.
13,0,13,Qa6,b'b5k1/5p2/q3p1p1/1pBpP2p/1P1P1P2/8/2P3PP/6QK w - -',-
14,0,14,Bc6,b'6k1/5p2/2b1p1p1/1pBpP2p/1P1P1P2/7P/q1P2QP1/7K w - -',-
15,0,15,Qc4,b'4b1k1/4Bp2/4p1p1/1p1pP2p/1PqP1P2/7P/2P2QPK/8 w - -',-
16,0,16,Qe4,b'4b1k1/4Bp2/4p1p1/1p1pP2p/1P1PqP2/2P1Q2P/6PK/8 w - -',-
