,gid,aid,move,fen,annotation
0,0,0,a6,b'rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -',And he has become a fan of playing the Najdorf Sicilian against me.  He's had pretty good success too as I've struggled to keep up with his improved play.
1,0,1,Qd2,b'rnb1kb1r/1p3ppp/pq1ppn2/6B1/3NPP2/2N5/PPPQ2PP/R3KB1R b KQkq -',The poisoned pawn variation.  While the cute 8. a3?! could lead to Qxb2 9. Na4! trapping the queen it's a waste of a move if black sees through that simple threat.
2,0,2,Qxb2,b'rnb1kb1r/1p3ppp/p2ppn2/6B1/3NPP2/2N5/PqPQ2PP/R3KB1R w KQkq -',Black wins a pawn and the game gets wild after that.
3,0,3,Rb1,b'rnb1kb1r/1p3ppp/p2ppn2/6B1/3NPP2/2N5/PqPQ2PP/1R2KB1R b Kkq -',Forcing the queen to a3.
4,0,4,1e5,b'rnb1kb1r/1p3ppp/p2ppn2/4P1B1/3N1P2/q1N5/P1PQ2PP/1R2KB1R b Kkq -',With many moves available this is one of the most aggressive continuations as it forces the knight off of f6.
5,0,5,1h6,b'rnb1kb1r/1p3pp1/p2ppn1p/4P1B1/3N1P2/q1N5/P1PQ2PP/1R2KB1R w Kkq -',...or perhaps not!  After 11. Bxf6 gxf6 12. exf6 white wins his pawn back but is that really good for white?
6,0,6,1Bh4,b'rnb1kb1r/1p3pp1/p2ppn1p/4P3/3N1P1B/q1N5/P1PQ2PP/1R2KB1R b Kkq -',I don't think so.
7,0,7,g5,b'rnb1kb1r/1p3p2/p3pn1p/4P1p1/3N3B/q1N5/P1PQ2PP/1R2KB1R w Kkq g6',Looking to force the bishop back.  At this point I briefly considered 13. Bxg5 but after hxg5 14. exf6 Nd7 white looks worse off to me than he is after...
8,0,8,1exf6,b'rnb1kb1r/1p3p2/p3pP1p/6p1/3N3B/q1N5/P1PQ2PP/1R2KB1R b Kkq -',13. exf6.  Which basically forces...
9,0,9,1gxh4,b'rnb1kb1r/1p3p2/p3pP1p/8/3N3p/q1N5/P1PQ2PP/1R2KB1R w Kkq -',Black's response.  Now while black is still up a pawn his doubled h-pawns underdevelopment and the annoying f6 pawn will give him headaches for a little while.
