,gid,aid,move,fen,annotation
0,0,0,Nf4,b'r1bqr1k1/ppp3pp/8/3pP3/1n3n2/1Q3N2/PB1N1PPP/R3K2R w KQ -',that move solved any black problems (development)
1,0,1,c5,b'r1bqr1k1/pp4pp/8/2ppP3/5n2/BQ1n1N2/P2N1PPP/R4RK1 w - c6',now white is fixed
2,0,2,2Qb5,b'r1b3k1/p5pp/1p6/1Q4Nr/2pp2qP/6P1/P3nPK1/R1B4R b - -',a nice try to trap me
3,0,3,2Bb7+,b'r5k1/pb4pp/1p6/1Q4Nr/2pp2qP/6P1/P3nPK1/R1B4R w - -',so far so well that avoids Qe8 # and wins
4,0,4,2Kh2,b'r5k1/pb4pp/1p6/1Q4Nr/2pp2qP/6P1/P3nP1K/R1B4R b - -',better was Kf1 nevertheless it´s lost for white
5,0,5,2Bxh1,b'r5k1/p5pp/1p6/1Q4Nr/2pp2qP/6P1/P3nP1K/R1B4b w - -',"??? My blunder of the year !!! Highest award !!! This happens if I am euphoric (like a fool) thinking about a nice way how to kill. Ignoring the possibility of any counter attack ;-)
Why not Rxh4+ (instead of Bxh1)? See: 28. gxh4 - Qg2#  or 28. Kh3 - Qxh3# !!! Looks easy.
"
6,0,6,2Qxc4+,b'r5k1/p5pp/1p6/6Nr/2Qp2qP/6P1/P3nP1K/R1B4b b - -',Here the reward !! 28. Qxc4+ - Kh8 29.Nf7+ - Kg8 30.Nh6+ - Kh8 31.Qg8+ - Txg8 32.Nf7#
7,1,0,e4,b'rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3',We all used this move back then...
8,1,1,e5,b'rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6',...and almost always replied with this.
9,1,2,f4,b'rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq f3',This wasn't at all uncommon among us. We'd usually accept on the Black side.
10,1,3,Bc5,b'rnbqk1nr/pppp1ppp/8/2b1p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq -',I decided to vary from the norm just for the hell of it.
11,1,4,fxe5,b'rnbqk1nr/pppp1ppp/8/2b1P3/4P3/8/PPPP2PP/RNBQKBNR b KQkq -',T. M. seizes the unprotected KP.
12,1,5,Qh4+,b'rnb1k1nr/pppp1ppp/8/2b1P3/4P2q/8/PPPP2PP/RNBQKBNR w KQkq -',Anytime I could safely play Q-R5 ch I figured good things would follow.
13,1,6,g3,b'rnb1k1nr/pppp1ppp/8/2b1P3/4P2q/6P1/PPPP3P/RNBQKBNR b KQkq -',Blocking off the check...
14,1,7,Qxe4+,b'rnb1k1nr/pppp1ppp/8/2b1P3/4q3/6P1/PPPP3P/RNBQKBNR w KQkq -',...but now he's in trouble.
15,1,8,Ne2,b'rnb1k1nr/pppp1ppp/8/2b1P3/4q3/6P1/PPPPN2P/RNBQKB1R b KQkq -',It hardly matters at this point...
16,1,9,Qxh1,b'rnb1k1nr/pppp1ppp/8/2b1P3/8/6P1/PPPPN2P/RNBQKB1q w Qkq -',This gives me a winning material advantage if the game gets far enough for it to matter.
17,1,10,b3,b'rnb1k1nr/pppp1ppp/8/2b1P3/8/1P4P1/P1PPN2P/RNBQKB1q b Qkq -',Playing out the string.
18,1,11,Qxh2,b'rnb1k1nr/pppp1ppp/8/2b1P3/8/1P4P1/P1PPN2q/RNBQKB2 w Qkq -',Taking the free Pawn.
19,1,12,Bb2,b'rnb1k1nr/pppp1ppp/8/2b1P3/8/1P4P1/PBPPN2q/RN1QKB2 b Qkq -',Completing his fianchetto and guarding the advanced Pawn.
20,1,13,Bf2#,b'rnb1k1nr/pppp1ppp/8/4P3/8/1P4P1/PBPPNb1q/RN1QKB2 w Qkq -',Finishing the game elegantly.
21,2,0,e4,b'rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3',Most common play.
22,2,1,e5,b'rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6',Taking control of the center
23,2,2,Nf3,b'rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -',Attacking the pawn.
24,2,3,Nc6,b'r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -',Defending.
25,2,4,Bc4,b'r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq -',A move that i perfected long ago.
