,gid,aid,move,fen,annotation
0,0,0,e4,b'rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3',Joe starts off with his usual opening.
1,0,1,Nc6,b'r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -',"This is a common move and could transpose into the Spanish Opening were it to go like 2.Bb5 Nf6 (for example) 3.Nc3.  But, Joe has other ideas."
2,0,2,Qh5,b'r1bqkbnr/pppppppp/2n5/7Q/4P3/8/PPPP1PPP/RNB1KBNR b KQkq -',"Which is why he brings it out before developing his pieces.  With that being said, Dwayn's next move doesn't surprise me as he is trying to punish Joe for bringing the Q out early.  But, white has no problems with that as the plan is to sac the Q for P."
3,0,3,Qxf7+,b'r1bqkb1r/pppppQpp/2n2n2/8/4P3/8/PPPP1PPP/RNB1KBNR b KQkq -',"As now, Dwayne's weakest pawn is removed from the chess board.  Despite starting off with a big advantage, he must be careful.  A mistake, can and does with a lot all of their advantage.  And, even with extra time, after sacking a Q for pawn like, the opponents often let their guard down and lose quickly."
4,0,4,d3,b'r1bq1b1r/pppppkpp/2n2n2/8/4P3/3P4/PPP2PPP/RNB1KBNR b KQ -',"As now, Joe has a nice pawn chain and is opening up a line for his Bc1 which can be very dangerous."
5,0,5,e5,b'r1bq1b1r/pppp1kpp/2n2n2/4p3/4P3/3P4/PPP2PPP/RNB1KBNR w KQ e6',"Thinking that his K is ok, Dwayne opens up a line for his Bf8."
6,0,6,c3,b'r1bq1b1r/pppp1kpp/2n2n2/4p3/4P3/2PP4/PP3PPP/RNB1KBNR b KQ -',"I think that Joe's idea is to exchange the d pawns.  He also might be trying to increase his handicap with Dwayne, seeing that the K is left in a vulnerable position.  That's why I would've played 4...Ke8, as black."
7,0,7,d5,b'r1bq1b1r/ppp2kpp/2n2n2/3pp3/4P3/2PP4/PP3PPP/RNB1KBNR w KQ d6',"But, Dwayne wants to exchange the pawn to prevent Joe from further advancing his e pawn."
8,0,8,Nd2,b'r1bq1b1r/ppp2kpp/2n2n2/3pp3/4P3/2PP4/PP1N1PPP/R1B1KBNR b KQ -',"And, by doing this, Joe adds an attacker, in this variation.  As it is guarding the e4 square.  Of course, that does not stop Dwayne from exchanging."
9,0,9,b6,b'r1bq1b1r/p1p2kpp/1pn2n2/4p3/4P3/2P5/PP1N1PPP/R1B1KBNR w KQ -',"In my opinion, this is inaccurate.  There was a line that was already open for Dwayne's Bc8, so why fianchetto.  In addition, the K is still in a bad position which, as he notes, that's what will, ultimately, cost black the game."
