,gid,aid,move,fen,annotation
0,0,0,Nge7,b'r1bqk2r/ppp1npbp/2n3p1/P2pp3/8/1P4P1/1BPPPPBP/RN1QK1NR w KQkq -',Black is just playing her own game...
1,0,1,fxg6,b'r1bq1r2/ppp3kp/P1n3p1/3p1n2/4p3/1P4P1/2PPPPB1/RN1QK1NR w KQ -',"White is getting no grip, on the Black position..."
2,0,2,Bxg4,b'r4r2/ppp1q1kp/P1n3pn/3p4/4p1b1/1PP4B/3PPP2/RN1QK1NR w KQ -',Black is staying ahead...
3,0,3,Nxf2,b'r4r2/ppp1q1kp/P1n3p1/3p4/4p3/1PP1P3/3P1n2/RN1QK1NR w KQ -',the winning move...
4,0,4,Qh4+,b'r4r2/ppp3kp/P1n3p1/3p4/4p2q/NPP1P3/2QP4/R3K1Nn w Q -',it is over...
5,0,5,Rf1+,b'r7/ppp3kp/P1n3p1/3p4/4p2q/NPP1P3/2QP4/R2K1rNn w - -',...
6,0,6,Qf2#,b'r7/ppp3kp/P1n3p1/3p4/4p3/NPP1P3/2QPKq2/R4rNn w - -',what can I say?
7,1,0,Nc6,b'r1bqkbnr/pppp1ppp/2n5/4p3/4P2P/8/PPPP1PP1/RNBQKBNR w KQkq -',"Whenever a rook pawn is pushed two places, my favorite response is to open the bishop on the diagonal they might want to advance the rook.  It's an easy two points, if they make that mistake."
8,1,1,a5,b'r1bqk1nr/1pppbppp/2n5/pP2p3/Q3P2P/2P5/P2P1PP1/RNB1KBNR w KQkq -',I think I would have withdrawn the knight to Na7.  
9,1,2,Qd6,b'r4rk1/1bp1np1p/3q2p1/p2pp1NP/Q7/B1PB4/P2P1PP1/R3K2R w KQ -',"Ugh.  What would have been mildly cool is d4, which focuses the black bishop on g2.  Though white could certainly interrupt with Be4, or f2.  At least black would be seizing the initiative."
10,1,3,1Qd7,b'r5k1/1b1Qn2p/3pNrp1/p2pp3/8/2PB4/P2P1PP1/R3K2R b KQ -',"White forks the rook and bishop with this move.  Bc8 may trade knights, but all even trades play to white's material advantage.  Actually, Bc8, 20. Qe8+, Rf8, 21. Qxf8#.  So never mind."
11,1,4,Rxf6,b'7k/4n1rp/3Q1rp1/3P4/8/p2B4/P2P1PP1/R3K2R w KQ -',White's queen was protecting that knight.
12,1,5,3Rc1,b'7k/6rp/6p1/3Q4/8/p2B4/P2P1PP1/2R1K2R b K -',"Black needs to move P7 to make room for the king to move, but down 18 this game is pretty much over."
13,1,6,3Qe5+,b'6rk/7p/6p1/4Q3/8/p2B4/P2P1PP1/2R1K2R b K -',"Here black must play Rg7, white answers with 36. Rc8#.
"
14,2,0,f4,b'rnbqkbnr/pp1ppp1p/6p1/2p5/4PP2/2P5/PP1P2PP/RNBQKBNR b KQkq f3',"at least, this opponent knows how to handle the Sicilian: deploy the Grand Prix Attack; now let's see, how well he handles that..."
15,2,1,Nbd2,b'rn1q1rk1/pb1pnpbp/1p2p1p1/2p5/4PP2/2PPBN2/PPQNB1PP/R3K2R b KQ -',"so far, White has played by the book: now, his play is getting sketchy..."
16,2,2,d5,b'rn1q1rk1/pb2npbp/1p2p1p1/2pp4/4PP2/2PPBN2/PPQNB1PP/R3K2R w KQ d6',there it is: d5...
17,2,3,Bxf3,b'rn1q1rk1/p3npbp/1p2p1p1/4P3/3B1P2/3P1b2/PPQNB1PP/R3K2R w KQ -',uncovering Bd4...
18,2,4,Nd7,b'r2q1rk1/p2n1pbp/1p2p1p1/4Pn2/5P2/2BP1N2/PPQ1B1PP/R3K2R w KQ -',obviously preparing Rc8...
19,2,5,1O-O,b'2rq1rk1/p4pbp/1p2p1p1/2n1Pn2/5P2/2BP1N2/PP1QB1PP/2R2RK1 b - -',castling under pressure...
20,2,6,1d4,b'2rq1rk1/p5bp/1p2ppp1/2n1Pn2/3P1P2/2B2N2/PP1QB1PP/2R2RK1 b - -',very inaccurate...
21,2,7,Qd5,b'2r2rk1/p5bp/1p2ppp1/3qPn2/3P1P2/2RQ1N2/PP2B1PP/5RK1 w - -',bringing the Queen into play...
22,2,8,Qa2,b'2r2rk1/p5bp/1p2ppp1/4Pn2/3P1P2/P1RQ1N2/qP2B1PP/5RK1 w - -',we take no prisoners...
23,2,9,Nd5,b'2r2rk1/p5bp/1p2ppp1/3nP3/3P1PP1/P1R2N2/qP1QB2P/5RK1 w - -',relentless...
24,2,10,2Rc2,b'2r2rk1/p5bp/1p2ppp1/3nP3/3P1PP1/P4N2/qPRQB2P/5RK1 b - -',"and White resigned on the spot: after Rxc2, Qxc2, Ne3, White can safely give up..."
25,3,0,Bf6,b'rnbqk1nr/ppp2ppp/3p1b2/8/3NPB2/8/PPP2PPP/RN1QKB1R w KQkq -',"already, Black is losing tempo..."
26,3,1,1O-O,b'r1b1k1nr/2pq1ppp/p1pp1b2/8/3NPB2/2P4P/PP3PP1/RN1Q1RK1 b kq -',White is doing fine...
27,3,2,1Re1,b'r1b1k2r/2pqnppp/p2p1b2/2p2N2/4PB2/2P4P/PP3PP1/RN1QR1K1 b kq -',"after Nxf5, exf5+..."
28,3,3,1O-O,b'r1b2rk1/2pqnppp/p2p1b2/2p2N2/4PB2/2P4P/PP3PP1/RN1QR1K1 w - -',so we castle...
29,3,4,1g4,b'r1b2rk1/2pqnppp/p2p1b2/2p2N2/4PBP1/2P4P/PP3P2/RN1QR1K1 b - g3',"after Nxf5, exf5..."
30,3,5,1Bb7,b'r4rk1/1bpqnppp/p2p1b2/2p2N2/4PBP1/2P4P/PP3P2/RN1QR1K1 w - -',"not he best of moves: but it took me some time, to grasp it; Qd7 gets uncovered: the already planned e4-e5, will bring Black mayhem..."
31,3,6,1f3,b'r4rk1/1bpqnppp/p2p1b2/2p2N2/4PBP1/2P2P1P/PP6/RN1QR1K1 b - -',White could already have played e5 here: but that still needed to sink in...
32,3,7,1Rfe8,b'r3r1k1/1bpqnppp/p2p1b2/2p2N2/4PBP1/2P2P1P/PP6/RN1QR1K1 w - -',"luckily, Black is oblivious..."
33,3,8,dxe5,b'r3r1k1/1bpqnppp/p4b2/2p1pN2/5BP1/2P2P1P/PP6/RN1QR1K1 w - -',"Bh4, might have been better..."
34,3,9,1Bxe5,b'r3r1k1/1bpqnppp/p4b2/2p1BN2/6P1/2P2P1P/PP6/RN1QR1K1 b - -',"Qxd7, wins the Queen and probably the game after Nxe7+ after that: but White wanted more..."
35,3,10,1Bxe5,b'r3r1k1/1bpqnppp/p7/2p1bN2/6P1/2P2P1P/PP6/RN1QR1K1 w - -',"and so did Black: Rxe5, Qxd1+, loses for White..."
36,3,11,1Qxd7,b'r3r1k1/1bpQnppp/p7/2p1bN2/6P1/2P2P1P/PP6/RN2R1K1 b - -',"time, to end this: Black resigned..."
37,4,0,g3,b'rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -',Black to play.
38,4,1,c6,b'rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq -',"Stockfish prefers Bb4 first, and I have started playing this move.
"
39,4,2,d4,b'rnbqkb1r/pp1p1ppp/2p2n2/4p3/2PP4/2N3P1/PP2PP1P/R1BQKBNR b KQkq d3',I find this move interesting.  It is perhaps the most aggressive.
40,4,3,d5,b'rnbqkb1r/pp3ppp/2p2n2/3p4/2PPp3/2N3P1/PP2PPBP/R1BQK1NR w KQkq d6',"I have some experience with this pawn formation.  Although technically equal, sometimes Black's pawns can come under attack, like a reverse French Advance Variation.
"
41,4,4,b3,b'rnbqkb1r/pp3ppp/2p2n2/3p4/2PPp3/1PN3P1/P3PPBP/R1BQK1NR b KQkq -',"This is about the least helpful move White could make.
"
42,4,5,Bd2,b'rnbqk2r/pp3ppp/2p2n2/3p4/1bPPp3/1PN3P1/P2BPPBP/R2QK1NR b KQkq -',"Now the computer likes 7... Na6 headed for c7, 7... Qe7, or 7... Bf5  and Black enjoys a slight advantage, mostly in space."
43,4,6,e3,b'rnbqk2r/pp3ppp/2p2n2/3p4/1bPP4/1PN1p1P1/P2BPPBP/R2QK1NR w KQkq -',"I am personally fond of moves like this, but often they not the most accurate, which is true in this game.  However, this disrupts White's position in a way that is practically and psychologically troublesome.

"
44,4,7,Ng4,b'rnbqk2r/pp3ppp/2p5/3p4/1bPP2n1/1PN1P1P1/P2BP1BP/R2QK1NR w KQkq -',"It is better to castle first.
"
45,4,8,Qe7,b'rnb1k2r/pp2qppp/2p5/3p4/1bPP2n1/1PN1P1P1/P1QBP1BP/R3K1NR w KQkq -',"It is  more accurate to play 9... O-O 10. cxd5 Bxc3 11. Qxc3 cxd5  and White has a slight advantage.  Then 12. h3 would be too weakening and Black just plays Nf6.
"
46,4,9,Bxc3,b'rnb1k2r/pp2qppp/2p5/3p4/2PP2n1/PPb1P1P1/2QBP1BP/R3K1NR w KQkq -',Now not 11. Bxc3 Nxe3.
47,4,10,1Qxc3,b'rnb1k2r/pp2qppp/2p5/3p4/2PP2n1/PPQ1P1P1/3BP1BP/R3K1NR b KQkq -',"
"
48,4,11,1h3,b'rnb2rk1/pp2qppp/2p5/3p4/2PP2n1/PPQ1P1PP/3BP1B1/R3K1NR b KQ -',"Let's Black off the hook.

White misses 12. cxd5 with a strong advantage.  12... cxd5 13. Bxd5 or 13. Nh3.  There is also 12. Nh3 Nf6 (12... Re8 13. cxd5).
"
49,4,12,1Nf6,b'rnb2rk1/pp2qppp/2p2n2/3p4/2PP4/PPQ1P1PP/3BP1B1/R3K1NR w KQ -',"Black is slightly better here.

If 13. Nf3 Ne4.
If 13. Qc1 Re8."
50,4,13,1O-O-O,b'rnb2rk1/pp2qppp/2p2n2/3p4/2PP4/PPQ1P1PP/3BP1B1/2KR2NR b - -',"This move has to be a disaster.

"
