,gid,aid,move,fen,annotation
0,0,0,d4,b'rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3',A lost game... A Londod attack failed. 
1,0,1,c3,b'rn1qkb1r/pbpp1ppp/1p2pn2/8/3P1B2/2P2N2/PP1NPPPP/R2QKB1R b KQkq -',Not really necessary. The London attack must be played without any time loss and this move is not really necessary. I must have played the g/h pawns inmediately. 
2,0,2,O-O,b'r2q1rk1/pbpnbppp/1p1ppn2/8/3P1B2/2P1PN1P/PPQN1PP1/R3KB1R w KQ -',"Anyway due to the passive play from black the position have been reached. 
Now more aggressive for white is g4 but sooner or later Qc2 must be played in order to give some threat to the kingside so it's ok. "
3,0,3,1Rg1,b'r2qr1k1/pbpnbppp/1p1ppn2/8/3P1B2/2PBPN1P/PPQN1PP1/R3K1R1 b Q -',Of course more to take out the rook from the diagonal than really to support the pawn. 
4,0,4,1Bf8,b'r2qrbk1/pbpn1ppp/1p1ppn2/8/3P1B2/2PBPN1P/PPQN1PP1/R3K1R1 w Q -',A very nice defensive move aiming to support the center break e5. 
5,0,5,1g4,b'r2qrbk1/pbpn1ppp/1p1ppn2/8/3P1BP1/2PBPN1P/PPQN1P2/R3K1R1 b Q g3',No excuse for playing the London attack and not... be attacking.
6,0,6,1Ng5,b'r2qrbk1/pbpn1ppp/1p1p1n2/4p1N1/3P1BP1/2PBP2P/PPQN1P2/R3K1R1 b Q -',This is the strong point. Black cannot play exB because of Bxh7+.
7,0,7,1dxe5,b'r3rbk1/pbpnqppp/1p1p1n2/4P1N1/5BP1/2PBP2P/PPQN1P2/R3K1R1 b Q -',Smartly defending f7 and indirectly threatening my king. I explored sac variants but I didn't find a better following than this that prevents the column to be opened. 
8,0,8,1Bxh7+,b'r3rbk1/pbpnqppB/1p3n2/4p1N1/5BP1/2P1P2P/PPQN1P2/R3K1R1 b Q -',This was the mistake. I tried a combination taking in c7 anyway but it just doesn't work. 
9,0,9,1Bg3,b'4rb1k/pbpn2p1/1p2qn2/4p3/6P1/2P1P1BP/PPQN1P2/R3K1R1 b Q -',I have +1 material but in fact my attack has vanished. I need some tempoes in order to reasset my pieces and this gives time to black to get the best from his active pieces.
10,0,10,1Nc5,b'4rb1k/pbp3p1/1p2qn2/2n1p3/6P1/2P1P1BP/PPQN1P2/R3K1R1 w Q -',I must have castled here but Qxa2 was very annoying. 
11,0,11,Ba6,b'4rb1k/p1p3p1/bp2q3/2nnp3/6P1/2P1PPBP/PPQ5/R3KNR1 w Q -',I didn't see c4. This was a great mistake. 
12,0,12,Nd3b4,b'3r1b1k/p1p3p1/bp2q3/3np3/1n4PB/2P1PP1P/PPQ5/R2K1NR1 w - -',Good move!
13,0,13,Nc1+,b'3r1b1k/p1p3p1/bp2q3/4p3/6PB/1QP1nP1P/PP2K3/R1n2NR1 w - -',All forced he wins my queen.
14,0,14,2Kf2,b'3r1b1k/p1p3p1/bp2q3/4p3/6PB/1QP1nP1P/PP3K2/R1n2NR1 b - -',I cannot take the knight because of a nice mate in 3. Can you see it?
15,0,15,2Nxb3,b'3r1b1k/p1p3p1/bp2q3/4p3/6PB/1nP1nP1P/PP3K2/R4NR1 w - -',If I go BxR just NxR gives him a stounding advantage. 
16,0,16,3Rxa6,b'3B3k/p1p3p1/Rp6/2bqp3/6P1/1PP2P1P/1P4K1/5nR1 b - -',Another mistake. But RgxN just will allow me to resist some more moves.
17,0,17,Qh2#,b'3B3k/p1p3p1/Rp6/2b1p3/6P1/1PP2P1P/1P5q/5nRK w - -',
18,1,0,c4,b'rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq c3',English I used to despise both playing and playing against this opening but as with most openings by playing it and playing against it more I have come to view it in a slightly better light by finding lines I enjoy. 
19,1,1,Nf6,b'rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -',I don't enjoy the reversed Sicilian positions as much and want to try to open the game up if possible. 
20,1,2,c6,b'rnbqkb1r/pp1ppppp/2p2n2/8/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq -',Looking to contest the bishop's diagonal and aiming to push d5. 
21,1,3,d5,b'rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq d6',Why wait? 
22,1,4,g6,b'rnbqkb1r/pp2pp1p/5np1/3p4/8/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -',Aiming to control the center as well and castle quickly. Still in my opening database. 
23,1,5,d4,b'rnbq1rk1/pp2ppbp/5np1/3p4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b - d3',Structure is nearly symmetrical but Black's turn to move now not sure yet if I want to play the b8 knight on the king or queenside I play...
24,1,6,Ne4,b'rnbq1rk1/pp2ppbp/6p1/3p4/3Pn3/2N2NP1/PP2PPBP/R1BQ1RK1 w - -',A more immediate line aggressively posting the knight. 
25,1,7,Qc2,b'rnbq1rk1/pp2ppbp/6p1/3p4/3Pn3/2N2NP1/PPQ1PPBP/R1B2RK1 b - -',This move was not in my database although Qb3 was. I decided to stay aggressive. 
26,1,8,1Qb3,b'rn1q1rk1/pp2ppbp/6p1/3p1b2/3Pn3/1QN2NP1/PP2PPBP/R1B2RK1 b - -',Since Bf5 was not a response to Qb3 we have not transposed back into my database. The queen double attacks the pawns on d5 and b7. 
27,1,9,1Qd7,b'rn3rk1/pp1qppbp/6p1/3p1b2/3Pn3/1QN2NP1/PP2PPBP/R1B2RK1 w - -',Looking to protect the b7 pawn and a8 rook
28,1,10,1Nxd5,b'rn3rk1/pp1qppbp/6p1/3N1b2/3Pn3/1Q3NP1/PP2PPBP/R1B2RK1 b - -',This pawn looks double attacked but White cannot take. The knight will now be pinned to the Queen and after 11. Qxd5 Nxc3 White is in trouble since 12. Qxd7 Nxe3+ comes with check
29,1,11,1Nxe7+,b'rn3rk1/pp1qNpbp/4b1p1/8/3Pn3/1Q3NP1/PP2PPBP/R1B2RK1 b - -',escapes with two pawns for the piece. 
30,1,12,Bf5,b'rn3rk1/pp2qpbp/6p1/3P1b2/4n3/1Q3NP1/PP2PPBP/R1B2RK1 w - -',The pawn on d5 isn't isolated but it's hanging and lonely black has a lot of open lines to press with and will soon recover some pawns. 
31,1,13,Nd6,b'rn3rk1/pp2qpbp/3n2p1/3P1b2/7N/1Q4P1/PP2PPBP/R1B2RK1 w - -',After 14... Bd7 15. Qe3 black's feeling the pressure. 
32,1,14,1Bd2,b'rn3rk1/pp2qpbp/3n2p1/3P1b2/7N/1Q4P1/PP1BPPBP/R4RK1 b - -',Looking to connect the rooks and finish development trying to pin the knight with Bb4.
33,1,15,1Na6,b'r4rk1/pp2qpbp/n2n2p1/3P1b2/7N/1Q4P1/PP1BPPBP/R4RK1 w - -',The knight needs to be developed and the bishop may need to be retreated to d7 in the near future. 
34,1,16,1e4,b'r4rk1/pp2qpbp/n2n2p1/3P1b2/4P2N/1Q4P1/PP1B1PBP/R4RK1 b - e3',White either drops or gambits a pawn but Black is up to the task. 
