,gid,aid,move,fen,annotation
0,0,0,d4,b'rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3',My favorite first move as white as I'm more familiar with Queen's Gambit type situations. 
1,0,1,dxc4,b'rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w KQkq -',Queen's gambit accepted.
2,0,2,e4,b'rnbqkbnr/ppp1pppp/8/8/2pPP3/8/PP3PPP/RNBQKBNR b KQkq e3',3.e3 or 3.Nf3 are often played also.
3,0,3,c6,b'rnbqkbnr/pp2pppp/2p5/8/2pPP3/8/PP3PPP/RNBQKBNR w KQkq -',Ofcourse 3...Nf6 or 3...b5 are options here. 
4,0,4,Bxc4,b'rnbqkbnr/pp2pppp/2p5/8/2BPP3/8/PP3PPP/RNBQK1NR b KQkq -',Taking back the pawn.
5,0,5,h6,b'rnbqkbnr/pp3pp1/2p1p2p/8/2BPP3/2N5/PP3PPP/R1BQK1NR w KQkq -',?? This move weakens the kingside pawn structure for no reason. At this point I allready saw a potential bishop sacrifice on h6.
6,0,6,O-O,b'rnbqkb1r/pp3pp1/2p1pn1p/8/2BPP3/2N2N2/PP3PPP/R1BQ1RK1 b kq -',Developing and bringing my king to a safer spot.
7,0,7,Bd3,b'rnbqkb1r/p4pp1/2p1pn1p/1p6/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 b kq -',This bishop needs to go to d3 anyway now it's like an x-ray aim on h7 and soon I'll play e5 to unleash it's full potential.
8,0,8,Bf4,b'rnbqk2r/p3bpp1/2p1pn1p/1p6/3PPB2/2NB1N2/PP3PPP/R2Q1RK1 b kq -',I want to double up on this diagonal with my queen so I have to move my bishop first.
9,0,9,1Qd2,b'r1bqk2r/p2nbpp1/2p1pn1p/1p6/3PPB2/2NB1N2/PP1Q1PPP/R4RK1 b kq -',Voila..
10,0,10,1O-O,b'r1bq1rk1/p2nbpp1/2p1pn1p/1p6/3PPB2/2NB1N2/PP1Q1PPP/R4RK1 w - -',Ok here it comes...
11,0,11,1e5,b'r1bq1rk1/p2nbpp1/2p1pn1p/1p2P3/3P1B2/2NB1N2/PP1Q1PPP/R4RK1 b - -',First get the knight out of the way and simultaneously clear the diagonal for my light squared bishop!
12,0,12,1Bxh6,b'r1bq1rk1/p2nbpp1/2p1p2B/1p2P2n/3P4/2NB1N2/PP1Q1PPP/R4RK1 b - -',! Nice move! It's also nice to see how all the white pieces are active in the attack. (the knight on c3 will jump to e4 in some lines to assist.)
13,0,13,1gxh6,b'r1bq1rk1/p2nbp2/2p1p2p/1p2P2n/3P4/2NB1N2/PP1Q1PPP/R4RK1 w - -',It might be better not to take the bishop here...but white is obviously better.
14,0,14,1Qxh6,b'r1bq1rk1/p2nbp2/2p1p2Q/1p2P2n/3P4/2NB1N2/PP3PPP/R4RK1 b - -',Threatening mate on h7 ofcourse.
15,0,15,1Ndf6,b'r1bq1rk1/p3bp2/2p1pn1Q/1p2P2n/3P4/2NB1N2/PP3PPP/R4RK1 w - -',13...f5 14.exf6 Ndxf6 also looks good for white.
16,0,16,1Rae1,b'r1bq1rk1/p3bp2/2p1pn1Q/1p2P2n/3P4/2NB1N2/PP3PPP/4RRK1 b - -',I like this move..I've been reading this book called 'Excelling at Chess calculation' by Jacob Aagaard a great book by the way where he speaks of finding 'candidate moves'. Ofcourse taking the knight wins back material but I decided to look a bit further and found this move! It doesn't threaten anything for now but black should really feel the pressure on the kingside building up.
17,0,17,1Re8,b'r1bqr1k1/p3bp2/2p1pn1Q/1p2P2n/3P4/2NB1N2/PP3PPP/4RRK1 w - -',? This move loses instantly but it's hard to find good moves for black.
18,0,18,1exf6,b'r1bqr1k1/p3bp2/2p1pP1Q/1p5n/3P4/2NB1N2/PP3PPP/4RRK1 b - -',Mate is inevitable now!
19,0,19,1Nxf6,b'r1bqr1k1/p3bp2/2p1pn1Q/1p6/3P4/2NB1N2/PP3PPP/4RRK1 w - -',15...Bxf6 leads to forced mate after 16.Bh7  Kh8 17.Bg6  Kg8 18.Qh7  Kf8 19.Qxf7# 
20,0,20,1Ng5,b'r1bqr1k1/p3bp2/2p1pn1Q/1p4N1/3P4/2NB4/PP3PPP/4RRK1 b - -',! 
21,0,21,1e5,b'r1bqr1k1/p3bp2/2p2n1Q/1p2p1N1/3P4/2NB4/PP3PPP/4RRK1 w - -',There's no defence. Now it's mate in three.
22,0,22,1Qxf7#,b'r1bqrk2/p3bQ2/2p5/1p2p1N1/3P4/2N5/PP3PPP/4RRK1 b - -',Checkmate! Hope you enjoyed the game. 
23,1,0,d4,b'rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3',"This is a game which I lost in ""berbatov's mini-tournament"". I add also the Spanish comments by migchess20."
24,1,1,f3,b'rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N2P2/PP4PP/R1BQKBNR b KQkq -',"The Sämisch variation.
The f3-pawn supports the e4-pawn and the square g4 so that the black king's knight cannot go there to kick a bishop on e3.
The minus is that white's g1-knight cannot go to his favorite square f3 and the development of white's kingside is ""going to be rather clumsy."" (J.Gallagher)"
25,1,2,e5,b'r1bq1rk1/ppp2pbp/2np1np1/4p3/2PPP3/2N1BP2/PP2N1PP/R2QKB1R w KQ e6',"migchess20: muy prematuro mover 7..e5 en esta posición.[7...a6 8.Dd2 Tb8 9.Cc1 e5 10.Cb3 exd4 11.Cxd4 Cxd4 12.Axd4 Ae6 13.Ae2 posición equilibrada] 
"
