,gid,aid,move,fen,annotation
0,0,0,d6,b'rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -',the philidor a ok game
1,0,1,h6,b'rnbqkbnr/ppp2pp1/3p3p/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -',? not sure why?
2,0,2,Be6,b'rn1qkbnr/ppp2pp1/3pb2p/8/2BNP3/8/PPP2PPP/RNBQK2R w KQkq -',? this loses a pawn
3,0,3,Qxe6+,b'rn1q2nr/pppkb1p1/3pQ2p/8/2B1P3/8/PPP2PPP/RNB1K2R b KQ -',mate is on its way!
4,0,4,Kc6,b'rn1q2nr/ppp1b1p1/2kpQ2p/8/2B1P3/8/PPP2PPP/RNB1K2R w KQ -',if ke8 qf7+ kd7 qf5+! ke8 bf7+ mating on a few moves!
5,0,5,1Qb5#,b'rn1q2nr/ppp1b1p1/1k1p3p/1Q6/2B1P3/8/PPP2PPP/RNB1K2R b KQ -',please leave a comment or two and rank it on the star system thank you!
6,1,0,g5,b'rnbqkbnr/pppppp1p/8/6p1/4P3/8/PPPP1PPP/RNBQKBNR w KQkq g6',let's try a grob
7,1,1,Nf3,b'rnbqkbnr/pppppp2/7p/6p1/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -',"this knight is not such a good tactical choice
after in the game it' easy for black to play g5 g4 and neutralize what is the knight defending (d4)
preparing this g5 g4 by bg7 and e3 the f3 knight could be lost or forced to retreat"
8,1,2,Nc3,b'rnbqk1nr/ppppppb1/7p/6p1/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -',"now we are ready for fight
best position for white should be whith the knight in e2 or whith the bishop in c4 befor moving the g knight
(in my opinion)"
9,1,3,dxc5,b'rnbqk1nr/pp1pppb1/7p/2P3p1/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -',gambit accepted is not so good choicethe c5 pawns is now isolated and the center is getting free
10,1,4,Qa5,b'rnb1k1nr/pp1pppb1/7p/q1P3p1/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -',"getting back my pawn
threatening ...bg7 x kc3 + ...etc"
11,1,5,Nc6,b'r1b1k1nr/pp1pppb1/2n4p/q1P3p1/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -',accentuate pression on d4
12,1,6,Be3,b'r1b1k1nr/pp1pppb1/2n4p/q1P3p1/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq -',defending d4 but is has become not so easy now
13,1,7,Qxc5,b'r1b1k1nr/pp1pppb1/2n4p/2q3p1/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -',"pawn back taking some risk but wining the knight 
i supose he will play ke6 trying to win my g7 bishop 
in this case i will play bg7 x kc3 + !"
14,1,8,Ne6,b'r1b1k1nr/pp1pppb1/2n1N2p/2q3p1/4P3/2N1B3/PPP2PPP/R2QKB1R b KQkq -',here we are
15,1,9,Qxc3+,b'r1b1k1nr/pp1ppp2/2n1N2p/6p1/4P3/2q1B3/P1P2PPP/R2QKB1R w KQkq -',"the black threaten after that is kc7
but he will loose his knight anyway whith as response qe5 !"
16,1,10,Qe5,b'r1b1k1nr/pp1ppp2/2n1N2p/4q1p1/4P3/8/P1PB1PPP/R2QKB1R w KQkq -',"then white resign and he get disconected refusing a rematch
i supose he must be disgusted that hapens often when i win whith grob.
i hope a day he will take his revenge this s just a game and unrated moreover"
17,2,0,b6,b'rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -',So far so normal...
