,gid,aid,move,fen,annotation
0,0,0,dxc5,b'r1bqkb1r/pp1p1ppp/2n1pn2/2P5/4P3/4BN2/PPP2PPP/RN1QKB1R b KQkq -',Mauvais jeux puisque Kxe4 et mon pion en c5 est attaqué par 2 pičces et seul le fou le protčge.
1,0,1,c4,b'r1b1kb1r/pp1p1ppp/2n1p3/qB6/2P1n3/4BN2/PP3PPP/RN1Q1RK1 b kq c3',a4 n'était pas mauvais mais j'ai opté pour c4 pour laisser plus de place ŕ ma reine.
2,0,2,1Bxc6,b'r1b1kb1r/1p1p1ppp/p1B1p3/q7/2P1n3/4BN2/PP3PPP/RN1Q1RK1 b kq -',J'ai opté pour l'échange plutôt que Ba4.  Je craignais les échanges si le pion avancait en b5 l'échange de pion aurait libéré la ligne a reine-tour pour les noirs.
3,0,3,1Qd4,b'r1b1kb1r/3p1ppp/p1p1p3/q7/2PQn3/4BN2/PP3PPP/RN3RK1 b kq -',Simple coup pour faire bouger le cavalier noir.  Ce dernier m'empęche de sortir mon cavalier en c3 ou d2.
4,0,4,1Ne5,b'r1b1kb1r/5ppp/p1p1p3/q2pN3/2PQn3/4B3/PP3PPP/RN3RK1 b kq -',Ce coup me permet d'attaquer le pion en c6.  De plus si dxc4 la ligne d est ouverte pour ma reine ce qui n'est pas mauvais.
5,0,5,1Bc5,b'r1b1k2r/5ppp/p1p1p3/q1bpN3/2PQn3/4B3/PP3PPP/RN3RK1 w kq -',Ce coup des noirs n'était pas prévu et me force ŕ ramener la reine.
6,0,6,Bxe3,b'r1b1k2r/5ppp/p1p1p3/q2pN3/2P1n3/4b3/PP3PPP/RN1Q1RK1 w kq -',L'échange de fou expose le roi blanc.  J'aurais du jouer Qd3 plutôt que Qd1.
7,0,7,1Nxf7,b'r1b1k2r/5Npp/p1p1p3/2qp4/2P1n3/4P3/PP4PP/RN1Q1RK1 b kq -',Ici j'ai pris une chance j'espérais que les noirs bouge simplement la tour.  Le coup Rxf7 aurait probablement été meilleur puisque le roque n'aurait pas été possible.
8,0,8,1Qf3,b'r1b2rk1/5Npp/p1p1p3/2qp4/2P1n3/4PQ2/PP4PP/RN3RK1 b - -',Je dois absolument protéger mon cavalier
9,0,9,1Nc3,b'r1b3k1/5rpp/p1p1p3/3p2nQ/2P5/2N1q3/PP4PP/R4R1K b - -',J'aimais mieux sortir mon cavalier.  Si l'échange de tour se fait je garde le controle sur la ligne f et espčre surprendre les noirs avec Qe8 pour le mat.
10,0,10,1Rxf1+,b'r1b3k1/6pp/p1p1p3/3p2nQ/2P5/2N1q3/PP4PP/R4r1K w - -',L'échange se fait comme prévu.
11,0,11,Bd7,b'r5k1/3b2pp/p1p1p3/3p2nQ/2P5/2N1q3/PP4PP/5R1K w - -',Malheureusement les noirs ont vu le jeu.
12,0,12,2h4,b'r5k1/3b2pp/p1p1p3/3p2nQ/2P4P/2N1q3/PP4P1/5R1K b - h3',J'essaie de faire fuir le cavalier pour descendre Qf7.
13,0,13,2Ne4,b'r5k1/3b2pp/p1p1p3/3p3Q/2P1n2P/2N1q3/PP4P1/5R1K w - -',Je décide de ne pas descendre la reine je crains Kg3 qui me couterait ma tour.  Je procčde donc ŕ l'échange de cavalier.
14,0,14,Qxe4,b'r3b1k1/6pp/p1p1p3/3p4/2P1q1QP/8/PP4P1/5R1K w - -',Ŕ partir de lŕ il est clair que les noirs veulent provoquer l'échange de reine.  Cette partie est terminé pour les blancs.
15,0,15,Qg4,b'4r1k1/6pp/p1p1p3/5bQP/2p3q1/8/PP4P1/5R1K w - -',
16,1,0,Nf3,b'rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq -',1. Nf3 (the Reti Opening) - my last opponent apastpawn (Wayne) played this against me and won so I thought I would spring this suprise on another Expert!  Marin however responds with c5 instead of d5
17,1,1,Bg2,b'rnbqkbnr/p2p1ppp/1p2p3/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -',4. Bg2 (over the last few moves the game has transposed into an English Opening - it is quite common in the English to fianchetto your king bishop)
18,1,2,O-O,b'rn1q1rk1/pb1pbppp/1p2pn2/2p5/2P5/2NP1NPP/PP2PPB1/R1BQ1RK1 b - -',8. 0-0 (over the last few moves Marin and I have just concentrated on getting our pieces out)
19,1,3,1e3,b'rn1q1rk1/1b2bppp/pp1ppn2/2p5/2P5/1PNPPNPP/P4PB1/R1BQ1RK1 b - -',10. e3?!  (in hindsight I think this is an inaccuracy which leads to a lot of trouble later on)
20,1,4,Rc8,b'2rq1rk1/1b1nbppp/pp1ppn2/2p5/2P5/1PNPPNPP/PB3PB1/R2Q1RK1 w - -',11. .......... Rc8 (just starting to put pressure on the c file - although this later shifts to the d file with disastrous consequences for yours truly!)
21,1,5,Qa8,b'q4rk1/1brnbppp/pp1ppn2/2p5/2P5/1PNPPNPP/PBR2PB1/3Q1RK1 w - -',13. ......... Qa8 (doubling up on the a8-h1 diagonal through the heart of white's castled position - must pay attention here!  Pity I do not do so later!)
22,1,6,1e4,b'q4rk1/1br1bppp/pp1ppn2/2p1n3/2P1P3/1PNP1NPP/PBR2PB1/3QR1K1 b - -',15. e4?! I make a pawn break to e4 but I think this may be inappropriate as it leaves the d pawn permanently backward
23,1,7,Rcd7,b'q2rn1k1/1b1rbppp/pp1pp3/2p5/2P1P3/1PNP2PP/PB1R1PB1/3QR1K1 w - -',18. ...... Rcd7 (Marin has amassed his heavy pieces on the d file and they are trained on my d pawn)
24,1,8,1f3,b'q2rn1k1/1b1rbppp/pp1pp3/2p5/2P1P3/1PNP1PPP/PB1R2B1/3QR1K1 b - -',19. f3 (closes off the a1-h8 diagonal)
25,1,9,2Kh2,b'q2r2k1/1bnr1ppp/pp1ppb2/2p5/2P1P3/1PNP1PPP/P2R2BK/B2QR3 b - -',21. Kh2 (I decide to move my king onto the second rank because my wall of pawns has moved up and it makes the king look less exposed)
26,1,10,2Nb1,b'q2r2k1/1bnr1ppp/p2pp3/1pp5/2PbP3/1P1P1PPP/PB1R2BK/1N1QR3 b - -',23. Nb1 (bit passive for the knight but I want to get rid of that horrid looking dark square bishop and he obligingly exchanges it)
27,1,11,h6,b'q2r2k1/1bnr1pp1/p3p2p/1ppp4/2P1P3/1P1P1PPP/PR2Q1BK/1N2R3 w - -',25. ......... h6 (what is this seemingly innocent move?  Is he doing a Heinzkat?)
